,adsh,cik,name,sic,fye,form,period,fy,fp,fs_year,fs_quarter
87,0000027904-18-000016,27904,DELTA AIR LINES INC /DE/,4512.0,1231.0,10-Q,20180630,2018,Q2,,
88,0000027996-18-000096,27996,DELUXE CORP,2780.0,1231.0,10-Q,20180630,2018,Q2,,
89,0000028412-18-000146,28412,COMERICA INC /NEW/,6021.0,1231.0,10-Q,20180630,2018,Q2,,
90,0000028823-18-000135,28823,"DIEBOLD NIXDORF, INC",3578.0,1231.0,10-Q,20180630,2018,Q2,,
91,0000028917-18-000385,28917,"DILLARD'S, INC.",5311.0,131.0,10-Q,20180731,2018,Q2,,
92,0000029332-18-000062,29332,DIXIE GROUP INC,2273.0,1231.0,10-Q,20180630,2018,Q2,,
93,0000029905-18-000043,29905,DOVER CORP,3530.0,1231.0,10-Q,20180630,2018,Q2,,
94,0000029915-18-000018,100790,UNION CARBIDE CORP /NEW/,2860.0,1231.0,10-Q,20180630,2018,Q2,,
95,0000029915-18-000020,29915,DOW CHEMICAL CO /DE/,2821.0,1231.0,10-Q,20180630,2018,Q2,,
96,0000029989-18-000012,29989,OMNICOM GROUP INC.,7311.0,1231.0,10-Q,20180630,2018,Q2,,
97,0000030554-18-000009,30554,DUPONT E I DE NEMOURS & CO,2820.0,1231.0,10-Q,20180630,2018,Q2,,
98,0000030625-18-000067,30625,FLOWSERVE CORP,3561.0,1231.0,10-Q,20180630,2018,Q2,,
99,0000030697-18-000008,30697,WENDY'S CO,5810.0,1231.0,10-Q,20180630,2018,Q2,,
100,0000031107-18-000029,31107,EASTERN CO,3420.0,1231.0,10-Q,20180630,2018,Q2,,
101,0000031347-18-000022,31347,ECHELON CORP,3576.0,1231.0,10-Q,20180630,2018,Q2,,
102,0000031791-18-000011,31791,PERKINELMER INC,3826.0,630.0,10-Q,20180630,2018,Q2,,
103,0000031978-18-000043,31978,EL PASO ELECTRIC CO /TX/,4911.0,1231.0,10-Q,20180630,2018,Q2,,
104,0000032604-18-000038,32604,EMERSON ELECTRIC CO,3600.0,930.0,10-Q,20180630,2018,Q3,,
105,0000033185-18-000027,33185,EQUIFAX INC,7320.0,1231.0,10-Q,20180630,2018,Q2,,
106,0000033213-18-000011,33213,EQT CORP,1311.0,1231.0,10-Q,20180630,2018,Q2,,
107,0000034067-18-000026,34067,DMC GLOBAL INC.,3390.0,1231.0,10-Q,20180630,2018,Q2,,
108,0000034088-18-000039,34088,EXXON MOBIL CORP,2911.0,1231.0,10-Q,20180630,2018,Q2,,
110,0000034782-18-000075,34782,1ST SOURCE CORP,6022.0,1231.0,10-Q,20180630,2018,Q2,,
111,0000034903-18-000024,34903,FEDERAL REALTY INVESTMENT TRUST,6798.0,1231.0,10-Q,20180630,2018,Q2,,
112,0000036047-18-000094,36047,"CORELOGIC, INC.",7374.0,1231.0,10-Q,20180630,2018,Q2,,
113,0000036966-18-000029,36966,FIRST HORIZON NATIONAL CORP,6021.0,1231.0,10-Q,20180630,2018,Q2,,
114,0000037785-18-000053,37785,FMC CORP,2800.0,1231.0,10-Q,20180630,2018,Q2,,
115,0000037808-18-000024,37808,FNB CORP/PA/,6021.0,1231.0,10-Q,20180630,2018,Q2,,
116,0000037996-18-000063,37996,FORD MOTOR CO,3711.0,1231.0,10-Q,20180630,2018,Q2,,
117,0000038009-18-000192,38009,FORD MOTOR CREDIT CO LLC,6159.0,1231.0,10-Q,20180630,2018,Q2,,
118,0000038725-18-000152,38725,FRANKLIN ELECTRIC CO INC,3621.0,1231.0,10-Q,20180630,2018,Q2,,
119,0000038777-18-000199,38777,FRANKLIN RESOURCES INC,6282.0,930.0,10-Q,20180630,2018,Q3,,
120,0000039263-18-000034,39263,"CULLEN/FROST BANKERS, INC.",6021.0,1231.0,10-Q,20180630,2018,Q2,,
121,0000039899-18-000029,39899,TEGNA INC,4833.0,1231.0,10-Q,20180630,2018,Q2,,
122,0000039911-18-000134,39911,GAP INC,5651.0,131.0,10-Q,20180731,2018,Q2,,
123,0000040211-18-000067,40211,GATX CORP,4700.0,1231.0,10-Q,20180630,2018,Q2,,
124,0000040533-18-000043,40533,GENERAL DYNAMICS CORP,3730.0,1231.0,10-Q,20180630,2018,Q2,,
125,0000040545-18-000061,40545,GENERAL ELECTRIC CO,3600.0,1231.0,10-Q,20180630,2018,Q2,,
126,0000040729-18-000117,40729,ALLY FINANCIAL INC.,6022.0,1231.0,10-Q,20180630,2018,Q2,,
127,0000040888-18-000031,40888,"AEROJET ROCKETDYNE HOLDINGS, INC.",3760.0,1231.0,10-Q,20180630,2018,Q2,,
128,0000040987-18-000017,40987,GENUINE PARTS CO,5013.0,1231.0,10-Q,20180630,2018,Q2,,
129,0000042316-18-000043,42316,GOLDFIELD CORP,1623.0,1231.0,10-Q,20180630,2018,Q2,,
130,0000042888-18-000047,42888,GRACO INC,3561.0,1231.0,10-Q,20180630,2018,Q2,,
131,0000043920-18-000022,43920,GREIF INC,3412.0,1031.0,10-Q,20180731,2018,Q3,,
132,0000045012-18-000120,45012,HALLIBURTON CO,1389.0,1231.0,10-Q,20180630,2018,Q2,,
133,0000045876-18-000126,45876,HARSCO CORP,3440.0,1231.0,10-Q,20180630,2018,Q2,,
134,0000045919-18-000040,45919,HARTE HANKS INC,7331.0,1231.0,10-Q,20180630,2018,Q2,,
135,0000045947-18-000028,45947,TALCOTT RESOLUTION LIFE INSURANCE CO,6311.0,1231.0,10-Q,20180630,2018,Q2,,
136,0000046080-18-000118,46080,HASBRO INC,3944.0,1231.0,10-Q,20180630,2018,Q2,,
137,0000046195-18-000047,46195,BANK OF HAWAII CORP,6022.0,1231.0,10-Q,20180630,2018,Q2,,
138,0000046250-18-000023,46250,HAWKINS INC,5160.0,331.0,10-Q,20180630,2018,Q1,,
139,0000046619-18-000073,46619,HEICO CORP,3724.0,1031.0,10-Q,20180731,2018,Q3,,
140,0000047111-18-000035,47111,HERSHEY CO,2060.0,1231.0,10-Q,20180630,2018,Q2,,
141,0000047217-18-000044,47217,HP INC,3570.0,1031.0,10-Q,20180731,2018,Q3,,
142,0000047518-18-000077,47518,"HILL-ROM HOLDINGS, INC.",3841.0,930.0,10-Q,20180630,2018,Q3,,
143,0000048039-18-000057,48039,HOLLYFRONTIER CORP,2911.0,1231.0,10-Q,20180630,2018,Q2,,
144,0000048287-18-000182,48287,HNI CORP,2522.0,1231.0,10-Q,20180630,2018,Q2,,
145,0000048465-18-000039,48465,HORMEL FOODS CORP /DE/,2011.0,1031.0,10-Q,20180731,2018,Q3,,
146,0000049071-18-000100,49071,HUMANA INC,6324.0,1231.0,10-Q,20180630,2018,Q2,,
147,0000049196-18-000052,49196,HUNTINGTON BANCSHARES INC/MD,6021.0,1231.0,10-Q,20180630,2018,Q2,,
148,0000049600-18-000021,49600,EASTGROUP PROPERTIES INC,6798.0,1231.0,10-Q,20180630,2018,Q2,,
149,0000049728-18-000092,49728,IEC ELECTRONICS CORP,3672.0,930.0,10-Q,20180630,2018,Q3,,
150,0000049754-18-000014,49754,"DINE BRANDS GLOBAL, INC.",5812.0,1231.0,10-Q,20180630,2018,Q2,,
151,0000049826-18-000089,49826,ILLINOIS TOOL WORKS INC,3560.0,1231.0,10-Q,20180630,2018,Q2,,
152,0000050104-18-000181,50104,ANDEAVOR,2911.0,1231.0,10-Q,20180630,2018,Q2,,
153,0000050493-18-000019,50493,INGLES MARKETS INC,5411.0,930.0,10-Q,20180630,2018,Q3,,
154,0000050725-18-000050,50725,GRIFFON CORP,3442.0,930.0,10-Q,20180630,2018,Q3,,
155,0000050863-18-000022,50863,INTEL CORP,3674.0,1231.0,10-Q,20180630,2018,Q2,,
156,0000051253-18-000017,51253,INTERNATIONAL FLAVORS & FRAGRANCES INC,2860.0,1231.0,10-Q,20180630,2018,Q2,,
157,0000051434-18-000034,51434,INTERNATIONAL PAPER CO /NEW/,2621.0,1231.0,10-Q,20180630,2018,Q2,,
158,0000051548-18-000029,51548,INTERNATIONAL SPEEDWAY CORP,7948.0,1130.0,10-Q,20180531,2018,Q2,,
159,0000051644-18-000041,51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",7311.0,1231.0,10-Q,20180630,2018,Q2,,
160,0000052795-18-000018,52795,ANIXTER INTERNATIONAL INC,5063.0,1231.0,10-Q,20180630,2018,Q2,,
161,0000052827-18-000033,52827,RAYONIER INC,6798.0,1231.0,10-Q,20180630,2018,Q2,,
162,0000052988-18-000023,52988,JACOBS ENGINEERING GROUP INC /DE/,1600.0,930.0,10-Q,20180630,2018,Q3,,
163,0000054381-18-000044,54381,KAMAN CORP,5080.0,1231.0,10-Q,20180630,2018,Q2,,
164,0000054480-18-000178,54480,KANSAS CITY SOUTHERN,4011.0,1231.0,10-Q,20180630,2018,Q2,,
165,0000055135-18-000020,55135,KELLY SERVICES INC,7363.0,1231.0,10-Q,20180630,2018,Q2,,
168,0000055785-18-000051,55785,KIMBERLY CLARK CORP,2670.0,1231.0,10-Q,20180630,2018,Q2,,
170,0000056978-18-000091,56978,KULICKE & SOFFA INDUSTRIES INC,3674.0,930.0,10-Q,20180630,2018,Q3,,
172,0000058361-18-000025,58361,"LEE ENTERPRISES, INC",2711.0,930.0,10-Q,20180630,2018,Q3,,
173,0000058492-18-000011,58492,LEGGETT & PLATT INC,2510.0,1231.0,10-Q,20180630,2018,Q2,,
174,0000059440-18-000032,59440,VECTOR GROUP LTD,2111.0,1231.0,10-Q,20180630,2018,Q2,,
175,0000059478-18-000188,59478,LILLY ELI & CO,2834.0,1231.0,10-Q,20180630,2018,Q2,,
176,0000059527-18-000026,59527,LINCOLN ELECTRIC HOLDINGS INC,3540.0,1231.0,10-Q,20180630,2018,Q2,,
177,0000059558-18-000031,59558,LINCOLN NATIONAL CORP,6311.0,1231.0,10-Q,20180630,2018,Q2,,
178,0000060667-18-000157,60667,LOWES COMPANIES INC,5211.0,131.0,10-Q,20180731,2018,Q2,,
179,0000061398-18-000019,61398,TELLURIAN INC. /DE/,1311.0,1231.0,10-Q,20180630,2018,Q2,,
180,0000062709-18-000032,62709,"MARSH & MCLENNAN COMPANIES, INC.",6411.0,1231.0,10-Q,20180630,2018,Q2,,
181,0000062996-18-000053,62996,MASCO CORP /DE/,2430.0,1231.0,10-Q,20180630,2018,Q2,,
182,0000063296-18-000071,63296,MATTHEWS INTERNATIONAL CORP,3360.0,930.0,10-Q,20180630,2018,Q3,,
183,0000063754-18-000087,63754,MCCORMICK & CO INC,2090.0,1130.0,10-Q,20180831,2018,Q3,,
184,0000063908-18-000049,63908,MCDONALDS CORP,5812.0,1231.0,10-Q,20180630,2018,Q2,,
185,0000064040-18-000162,64040,S&P GLOBAL INC.,7320.0,1231.0,10-Q,20180630,2018,Q2,,
186,0000064996-18-000039,64996,MERCURY GENERAL CORP,6331.0,1231.0,10-Q,20180630,2018,Q2,,
188,0000065270-18-000029,65270,METHODE ELECTRONICS INC,3678.0,430.0,10-Q,20180731,2019,Q1,,
189,0000065984-18-000192,65984,ENTERGY CORP /DE/,4911.0,1231.0,10-Q,20180630,2018,Q2,,
191,0000066570-18-000036,66570,MSA SAFETY INC,3842.0,1231.0,10-Q,20180630,2018,Q2,,
192,0000066756-18-000075,66756,ALLETE INC,4931.0,1231.0,10-Q,20180630,2018,Q2,,
193,0000067215-18-000039,67215,DYCOM INDUSTRIES INC,1623.0,131.0,10-Q,20180731,2018,Q2,,
194,0000067716-18-000052,67716,MDU RESOURCES GROUP INC,1400.0,1231.0,10-Q,20180630,2018,Q2,,
195,0000067887-18-000032,67887,MOOG INC.,3590.0,930.0,10-Q,20180630,2018,Q3,,
196,0000068505-18-000023,68505,"MOTOROLA SOLUTIONS, INC.",3663.0,1231.0,10-Q,20180630,2018,Q2,,
197,0000068622-18-000009,68622,QWEST CORP,4813.0,1231.0,10-Q,20180630,2018,Q2,,
198,0000068709-18-000029,68709,MTS SYSTEMS CORP,3829.0,930.0,10-Q,20180630,2018,Q3,,
199,0000070145-18-000017,70145,NATIONAL FUEL GAS CO,4924.0,930.0,10-Q,20180630,2018,Q3,,
200,0000070318-18-000030,70318,TENET HEALTHCARE CORP,8062.0,1231.0,10-Q,20180630,2018,Q2,,
201,0000070415-18-000106,70415,GP STRATEGIES CORP,8200.0,1231.0,10-Q,20180630,2018,Q2,,
203,0000070858-18-000030,70858,BANK OF AMERICA CORP /DE/,6021.0,1231.0,10-Q,20180630,2018,Q2,,
204,0000070866-18-000024,70866,NCR CORP,3578.0,1231.0,10-Q,20180630,2018,Q2,,
205,0000071691-18-000014,71691,NEW YORK TIMES CO,2711.0,1231.0,10-Q,20180630,2018,Q2,,
206,0000071829-18-000111,71829,NEWPARK RESOURCES INC,3533.0,1231.0,10-Q,20180630,2018,Q2,,
207,0000072207-18-000060,72207,NOBLE ENERGY INC,1311.0,1231.0,10-Q,20180630,2018,Q2,,
208,0000072333-18-000132,72333,NORDSTROM INC,5651.0,131.0,10-Q,20180731,2018,Q2,,
209,0000072741-18-000053,72741,EVERSOURCE ENERGY,4911.0,1231.0,10-Q,20180630,2018,Q2,,
210,0000072903-18-000042,72903,XCEL ENERGY INC,4931.0,1231.0,10-Q,20180630,2018,Q2,,
212,0000072909-18-000013,72909,NORTHERN STATES POWER CO /WI/,4931.0,1231.0,10-Q,20180630,2018,Q2,,
213,0000072971-18-000408,72971,WELLS FARGO & COMPANY/MN,6021.0,1231.0,10-Q,20180630,2018,Q2,,
214,0000073020-18-000029,73020,NORTHWEST NATURAL GAS CO,4924.0,1231.0,10-Q,20180630,2018,Q2,,
216,0000073088-18-000126,73088,NORTHWESTERN CORP,4931.0,1231.0,10-Q,20180630,2018,Q2,,
217,0000073124-18-000259,73124,NORTHERN TRUST CORP,6022.0,1231.0,10-Q,20180630,2018,Q2,,
218,0000073756-18-000046,73756,OCEANEERING INTERNATIONAL INC,1389.0,1231.0,10-Q,20180630,2018,Q2,,
219,0000073887-18-000045,73887,BRISTOW GROUP INC,4522.0,331.0,10-Q,20180630,2018,Q1,,
220,0000074145-18-000019,74145,OKLAHOMA GAS & ELECTRIC CO,4911.0,1231.0,10-Q,20180630,2018,Q2,,
221,0000074208-18-000064,74208,"UDR, INC.",6798.0,1231.0,10-Q,20180630,2018,Q2,,
222,0000074260-18-000061,74260,OLD REPUBLIC INTERNATIONAL CORP,6351.0,1231.0,10-Q,20180630,2018,Q2,,
223,0000074303-18-000042,74303,OLIN CORP,2800.0,1231.0,10-Q,20180630,2018,Q2,,
224,0000075208-18-000105,75208,OVERSEAS SHIPHOLDING GROUP INC,4412.0,1231.0,10-Q,20180630,2018,Q2,,
225,0000075252-18-000115,75252,OWENS & MINOR INC/VA/,5047.0,1231.0,10-Q,20180630,2018,Q2,,
226,0000075288-18-000051,75288,OXFORD INDUSTRIES INC,2320.0,131.0,10-Q,20180731,2018,Q2,,
227,0000075679-18-000018,75679,"GCI, LLC",4813.0,1231.0,10-Q,20180630,2018,Q2,,
228,0000076063-18-000016,76063,PANHANDLE EASTERN PIPE LINE CO LP,4922.0,1231.0,10-Q,20180630,2018,Q2,,
229,0000076282-18-000120,76282,PARK OHIO HOLDINGS CORP,3460.0,1231.0,10-Q,20180630,2018,Q2,,
230,0000076321-18-000063,76321,PARKER DRILLING CO /DE/,1381.0,1231.0,10-Q,20180630,2018,Q2,,
232,0000076605-18-000119,76605,PATRICK INDUSTRIES INC,2430.0,1231.0,10-Q,20180630,2018,Q2,,
233,0000077159-18-000015,77159,PENN VIRGINIA CORP,1311.0,1231.0,10-Q,20180630,2018,Q2,,
234,0000077281-18-000070,77281,PENNSYLVANIA REAL ESTATE INVESTMENT TRUST,6798.0,1231.0,10-Q,20180630,2018,Q2,,
235,0000077360-18-000027,77360,PENTAIR PLC,3550.0,1231.0,10-Q,20180630,2018,Q2,,
236,0000077476-18-000055,77476,PEPSICO INC,2080.0,1231.0,10-Q,20180630,2018,Q2,,
237,0000077543-18-000077,77543,TUTOR PERINI CORP,1540.0,1231.0,10-Q,20180630,2018,Q2,,
238,0000077877-18-000034,77877,"PDC ENERGY, INC.",1311.0,1231.0,10-Q,20180630,2018,Q2,,
239,0000078003-18-000070,78003,PFIZER INC,2834.0,1231.0,10-Q,20180630,2018,Q2,,
240,0000078128-18-000012,78128,AQUA AMERICA INC,4941.0,1231.0,10-Q,20180630,2018,Q2,,
241,0000078239-18-000026,78239,PVH CORP. /DE/,2320.0,131.0,10-Q,20180731,2018,Q2,,
242,0000078749-18-000033,78749,AGILYSYS INC,7373.0,331.0,10-Q,20180630,2018,Q1,,
243,0000078814-18-000025,78814,PITNEY BOWES INC /DE/,3579.0,1231.0,10-Q,20180630,2018,Q2,,
244,0000078890-18-000033,78890,BRINKS CO,4731.0,1231.0,10-Q,20180630,2018,Q2,,
245,0000079282-18-000032,79282,"BROWN & BROWN, INC.",6411.0,1231.0,10-Q,20180630,2018,Q2,,
246,0000079879-18-000045,79879,PPG INDUSTRIES INC,2851.0,1231.0,10-Q,20180630,2018,Q2,,
247,0000080172-18-000034,80172,NATIONAL PRESTO INDUSTRIES INC,3480.0,1231.0,10-Q,20180630,2018,Q2,,
248,0000080420-18-000022,80420,POWELL INDUSTRIES INC,3613.0,930.0,10-Q,20180630,2018,Q3,,
250,0000080661-18-000039,80661,PROGRESSIVE CORP/OH/,6331.0,1231.0,10-Q,20180630,2018,Q2,,
251,0000081018-18-000012,81018,PUBLIC SERVICE CO OF COLORADO,4931.0,1231.0,10-Q,20180630,2018,Q2,,
252,0000081061-18-000034,81061,PUBLIX SUPER MARKETS INC,5411.0,1231.0,10-Q,20180630,2018,Q2,,
253,0000081362-18-000010,81362,QUAKER CHEMICAL CORP,2990.0,1231.0,10-Q,20180630,2018,Q2,,
254,0000082166-18-000084,82166,RAVEN INDUSTRIES INC,3081.0,131.0,10-Q,20180731,2018,Q2,,
255,0000082811-18-000101,82811,REGAL BELOIT CORP,3621.0,1231.0,10-Q,20180630,2018,Q2,,
256,0000083246-18-000016,83246,HSBC USA INC /MD/,6021.0,1231.0,10-Q,20180630,2018,Q2,,
257,0000084246-18-000042,84246,RLI CORP,6331.0,1231.0,10-Q,20180630,2018,Q2,,
258,0000084748-18-000026,84748,ROGERS CORP,2821.0,1231.0,10-Q,20180630,2018,Q2,,
259,0000084839-18-000126,84839,ROLLINS INC,7340.0,1231.0,10-Q,20180630,2018,Q2,,
260,0000085408-18-000101,85408,ROWAN COMPANIES PLC,1381.0,1231.0,10-Q,20180630,2018,Q2,,
263,0000085961-18-000132,85961,RYDER SYSTEM INC,7510.0,1231.0,10-Q,20180630,2018,Q2,,
264,0000086115-18-000064,86115,SAFEGUARD SCIENTIFICS INC,6799.0,1231.0,10-Q,20180630,2018,Q2,,
265,0000086312-18-000024,86312,"TRAVELERS COMPANIES, INC.",6331.0,1231.0,10-Q,20180630,2018,Q2,,
266,0000086521-18-000059,1032208,SEMPRA ENERGY,4932.0,1231.0,10-Q,20180630,2018,Q2,,
267,0000088121-18-000053,88121,SEABOARD CORP /DE/,6221.0,1231.0,10-Q,20180630,2018,Q2,,
268,0000088205-18-000013,88205,SPX CORP,3540.0,1231.0,10-Q,20180630,2018,Q2,,
