MANDT,EBELN,EBELP,LOEKZ,STATU,AEDAT,TXZ01,MATNR,EMATN,BUKRS,WERKS,LGORT,BEDNR,MATKL,INFNR,IDNLF,KTMNG,MENGE,MEINS,BPRME,BPUMZ,BPUMN,UMREZ,UMREN,NETPR,PEINH,NETWR,BRTWR,AGDAT,WEBAZ,MWSKZ,BONUS,INSMK,SPINF,PRSDR,SCHPR,MAHNZ,MAHN1,MAHN2,MAHN3,UEBTO,UEBTK,UNTTO,BWTAR,BWTTY,ABSKZ,AGMEM,ELIKZ,EREKZ,PSTYP,KNTTP,KZVBR,VRTKZ,TWRKZ,WEPOS,WEUNB,REPOS,WEBRE,KZABS,LABNR,KONNR,KTPNR,ABDAT,ABFTZ,ETFZ1,ETFZ2,KZSTU,NOTKZ,LMEIN,EVERS,ZWERT,NAVNW,ABMNG,PRDAT,BSTYP,EFFWR,XOBLR,KUNNR,ADRNR,EKKOL,SKTOF,STAFO,PLIFZ,NTGEW,GEWEI,TXJCD,ETDRK,SOBKZ,ARSNR,ARSPS,INSNC,SSQSS,ZGTYP,EAN11,BSTAE,REVLV,GEBER
140,4500000009,10,,,1/18/19,Off Road Helmet,OHMT1027,OHMT1027,US00,MI00,,,SFTY,5300000018,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000010,10,,,1/18/19,Off Road Helmet,OHMT1011,OHMT1011,US00,MI00,,,SFTY,5300000019,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000011,10,,,1/18/19,Off Road Helmet,OHMT1030,OHMT1030,US00,MI00,,,SFTY,5300000020,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000012,10,,,1/18/19,Off Road Helmet,OHMT1031,OHMT1031,US00,MI00,,,SFTY,5300000021,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000013,10,,,1/18/19,Off Road Helmet,OHMT1037,OHMT1037,US00,MI00,,,SFTY,5300000022,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000014,10,,,1/18/19,Off Road Helmet,OHMT1040,OHMT1040,US00,MI00,,,SFTY,5300000023,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000015,10,,,1/18/19,Off Road Helmet,OHMT1038,OHMT1038,US00,MI00,,,SFTY,5300000024,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000016,10,,,1/18/19,Off Road Helmet,OHMT1017,OHMT1017,US00,MI00,,,SFTY,5300000025,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000017,10,,,1/18/19,Off Road Helmet,OHMT1013,OHMT1013,US00,MI00,,,SFTY,5300000026,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000018,10,,,1/18/19,Off Road Helmet,OHMT1023,OHMT1023,US00,MI00,,,SFTY,5300000027,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000019,10,,,1/18/19,Off Road Helmet,OHMT1014,OHMT1014,US00,MI00,,,SFTY,5300000014,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000020,10,,,1/18/19,Off Road Helmet,OHMT1049,OHMT1049,US00,MI00,,,SFTY,5300000028,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000021,10,,,1/18/19,Off Road Helmet,OHMT1024,OHMT1024,US00,MI00,,,SFTY,5300000029,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000022,10,,,1/18/19,Off Road Helmet,OHMT1032,OHMT1032,US00,MI00,,,SFTY,5300000030,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000023,10,,,1/18/19,Off Road Helmet,OHMT1033,OHMT1033,US00,MI00,,,SFTY,5300000031,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000024,10,,,1/18/19,Off Road Helmet,OHMT1021,OHMT1021,US00,MI00,,,SFTY,,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,A,X,,0,0,0,0,0,,0,,,,,,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000025,10,,,1/18/19,Off Road Helmet,OHMT1009,OHMT1009,US00,MI00,,,SFTY,5300000032,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000026,10,,,1/18/19,Off Road Helmet,OHMT1016,OHMT1016,US00,MI00,,,SFTY,5300000033,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000027,10,,,1/18/19,Off Road Helmet,OHMT1008,OHMT1008,US00,MI00,,,SFTY,5300000034,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000028,10,,,1/18/19,Off Road Helmet,OHMT1007,OHMT1007,US00,MI00,,,SFTY,5300000035,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000029,10,,,1/18/19,Off Road Helmet,OHMT1008,OHMT1008,US00,MI00,,,SFTY,5300000034,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000030,10,,,1/18/19,Off Road Helmet,OHMT1021,OHMT1021,US00,MI00,,,SFTY,5300000036,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000031,10,,,1/18/19,Off Road Helmet,OHMT1001,OHMT1001,US00,MI00,,,SFTY,5300000037,,0,500,EA,EA,1,1,1,1,25,1,"12,500.00","12,500.00",00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/18/19,F,"12,500.00",X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000033,10,,,1/22/19,Off Road Helmet,OHMT1035,OHMT1035,US00,MI00,,,SFTY,5300000038,,0,500,EA,EA,1,1,1,1,25,1,"12,500.00","12,500.00",00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/22/19,F,"12,500.00",X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000034,10,,,1/22/19,Off Road Helmet,OHMT1035,OHMT1035,US00,MI00,,,SFTY,5300000038,,0,500,EA,EA,1,1,1,1,25,1,"12,500.00","12,500.00",00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/22/19,F,"12,500.00",X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000035,10,,,1/23/19,Off Road Helmet,OHMT1039,OHMT1039,US00,MI00,,,SFTY,5300000039,,0,10,EA,EA,1,1,1,1,24,1,240,240,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/23/19,F,240,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000036,10,,,1/23/19,Off road helmet,OHMT1035,OHMT1035,US00,MI00,,,SFTY,5300000038,,0,10,EA,EA,1,1,1,1,25,1,250,250,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/23/19,F,250,X,,,,,SAP,1,15,OZ,FL0000000,,,0,0,,,,,,,
140,4500000037,10,,,1/25/19,Off Road Tire,ORTR1000,ORTR1000,US00,DL00,,,RAW,5300000040,,0,200,EA,EA,1,1,1,1,10,1,"2,000.00","2,000.00",00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/25/19,F,"2,000.00",X,,,,,SAP,1,700,G,TX0000000,,,0,0,,,,,,,
140,4500000038,20,,,1/25/19,Off Road Tire,ORTR1000,ORTR1000,US00,DL00,,,RAW,5300000041,,0,200,EA,EA,1,1,1,1,10,1,"2,000.00","2,000.00",00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/25/19,F,"2,000.00",X,,,,,SAP,1,700,G,TX0000000,,,0,0,,,,,,,
140,4500000039,10,,,1/29/19,Off Road Tire,ORTR1039,ORTR1039,US00,DL00,,,RAW,5300000042,,0,200,EA,EA,1,1,1,1,10,1,"2,000.00","2,000.00",00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/29/19,F,"2,000.00",X,,,,,SAP,1,700,G,TX0000000,,,0,0,,,,,,,
140,4500000040,10,,,1/31/19,Off Road Tire,ORTR1035,ORTR1035,US00,DL00,,,RAW,5300000043,,0,200,EA,EA,1,1,1,1,10,1,"2,000.00","2,000.00",00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,1/31/19,F,"2,000.00",X,,,,,SAP,1,700,G,TX0000000,,,0,0,,,,,,,
140,4500000041,10,,,00/00/0000,Off Road Tires,ORTR1105,ORTR1105,US00,DL00,,,RAW,,,0,200,EA,EA,1,1,1,1,10,0,0,0,00/00/0000,0,,,,A,,,0,0,0,0,0,,0,,,,,,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,2/1/19,F,0,,,,,,SAP,1,700,G,TX0000000,,,0,0,,,,,,,
140,4500000042,10,,,2/1/19,Off Road Tires,ORTR1105,ORTR1105,US00,DL00,,,RAW,5300000044,,0,200,EA,EA,1,1,1,1,10,1,"2,000.00","2,000.00",00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,2/1/19,F,"2,000.00",X,,,,,SAP,1,700,G,TX0000000,,,0,0,,,,,,,
140,4500000043,10,,,2/2/19,Off Road Tire,ORTR1014,ORTR1014,US00,DL00,,,RAW,5300000045,,0,200,EA,EA,1,1,1,1,10,1,"2,000.00","2,000.00",00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,2/2/19,F,"2,000.00",X,,,,,SAP,1,700,G,TX0000000,,,0,0,,,,,,,
140,4500000044,10,,,2/3/19,Off Road Tire,ORTR1020,ORTR1020,US00,DL00,,,RAW,5300000046,,0,200,EA,EA,1,1,1,1,10,1,"2,000.00","2,000.00",00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,2/3/19,F,"2,000.00",X,,,,,SAP,1,700,G,TX0000000,,,0,0,,,,,,,
140,4500000045,10,,,00/00/0000,Off Road Tire,ORTR1020,ORTR1020,US00,DL00,,,RAW,5300000046,,0,0,EA,EA,1,1,1,1,10,1,10,10,00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,2/3/19,F,10,,,,,,SAP,1,700,G,TX0000000,,,0,0,,,,,,,
140,4500000046,10,,,2/3/19,Off Road Tire,ORTR1020,ORTR1020,US00,DL00,,,RAW,5300000046,,0,200,EA,EA,1,1,1,1,10,1,"2,000.00","2,000.00",00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,2/3/19,F,"2,000.00",X,,,,,SAP,1,700,G,TX0000000,,,0,0,,,,,,,
140,4500000047,10,,,2/3/19,Off Road Tire,ORTR1011,ORTR1011,US00,DL00,,,RAW,5300000047,,0,200,EA,EA,1,1,1,1,10,1,"2,000.00","2,000.00",00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,2/4/19,F,"2,000.00",X,,,,,SAP,1,700,G,TX0000000,,,0,0,,,,,,,
140,4500000048,10,,,2/4/19,Off Road Tire,ORTR1039,ORTR1039,US00,DL00,,,RAW,5300000042,,0,200,EA,EA,1,1,1,1,10,1,"2,000.00","2,000.00",00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,2/4/19,F,"2,000.00",X,,,,,SAP,1,700,G,TX0000000,,,0,0,,,,,,,
140,4500000049,10,,,2/4/19,Off Road Tire,ORTR1039,ORTR1039,US00,DL00,,,RAW,5300000042,,0,200,EA,EA,1,1,1,1,10,1,"2,000.00","2,000.00",00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,2/4/19,F,"2,000.00",X,,,,,SAP,1,700,G,TX0000000,,,0,0,,,,,,,
140,4500000050,10,,,00/00/0000,Off Road Tire,ORTR1111,ORTR1111,US00,DL00,,,RAW,,,0,200,EA,EA,1,1,1,1,10,0,0,0,00/00/0000,0,,,,A,,,0,0,0,0,0,,0,,,,,,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,2/4/19,F,0,,,,,,SAP,1,700,G,TX0000000,,,0,0,,,,,,,
140,4500000051,10,,,00/00/0000,Off Road Tire,ORTR1111,ORTR1111,US00,DL00,,,RAW,,,0,0,EA,EA,1,1,1,1,10,0,0,0,00/00/0000,0,,,,A,,,0,0,0,0,0,,0,,,,,,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,2/4/19,F,0,,,,,,SAP,1,700,G,TX0000000,,,0,0,,,,,,,
140,4500000052,10,,,2/4/19,Off Road Tire,ORTR1005,ORTR1005,US00,DL00,,,RAW,5300000048,,0,200,EA,EA,1,1,1,1,10,1,"2,000.00","2,000.00",00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,2/4/19,F,"2,000.00",X,,,,,SAP,1,700,G,TX0000000,,,0,0,,,,,,,
140,4500000053,10,,,2/4/19,Off Road Tire,ORTR1008,ORTR1008,US00,DL00,,,RAW,5300000049,,0,200,EA,EA,1,1,1,1,10,1,"2,000.00","2,000.00",00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,2/4/19,F,"2,000.00",X,,,,,SAP,1,700,G,TX0000000,,,0,0,,,,,,,
140,4500000054,10,,,2/4/19,Off Road Tire,ORTR1037,ORTR1037,US00,DL00,,,RAW,5300000050,,0,200,EA,EA,1,1,1,1,10,1,"2,000.00","2,000.00",00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,2/4/19,F,"2,000.00",X,,,,,SAP,1,700,G,TX0000000,,,0,0,,,,,,,
140,4500000055,10,,,2/4/19,Off Road Tire,ORTR1009,ORTR1009,US00,DL00,,,RAW,5300000051,,0,200,EA,EA,1,1,1,1,10,1,"2,000.00","2,000.00",00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,2/4/19,F,"2,000.00",X,,,,,SAP,1,700,G,TX0000000,,,0,0,,,,,,,
140,4500000056,10,,,2/4/19,Off Road Tire,ORTR1102,ORTR1102,US00,DL00,,,RAW,5300000052,,0,200,EA,EA,1,1,1,1,10,1,"2,000.00","2,000.00",00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,2/4/19,F,"2,000.00",X,,,,,SAP,1,700,G,TX0000000,,,0,0,,,,,,,
140,4500000057,10,,,2/4/19,Off Road Tire,ORTR1037,ORTR1037,US00,DL00,,,RAW,5300000053,,0,200,EA,EA,1,1,1,1,10,1,"2,000.00","2,000.00",00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,2/4/19,F,"2,000.00",X,,,,,SAP,1,700,G,TX0000000,,,0,0,,,,,,,
140,4500000058,10,,,2/4/19,Off Road Tire,ORTR1032,ORTR1032,US00,DL00,,,RAW,5300000054,,0,200,EA,EA,1,1,1,1,10,1,"2,000.00","2,000.00",00/00/0000,0,,,,C,X,,0,0,0,0,0,,0,,,,,X,,0,,,,,X,,X,,,,,0,00/00/0000,0,0,0,,,EA,,0,0,0,2/4/19,F,"2,000.00",X,,,,,SAP,1,700,G,TX0000000,,,0,0,,,,,,,
