CLIENT,KNUMV,KPOSN,STUNR,ZAEHK,KAPPL,KSCHL,KDATU,KRECH,KAWRT,KBETR,WAERS,KKURS,KPEIN,KMEIN,KUMZA,KUMNE,KNTYP,KSTAT,KNPRS,KRUEK,KRELI,KHERK,KGRPE,KOLNR,KNUMH,KOPOS,KVSL1,SAKN1,MWSK1,KVSL2,SAKN2,MWSK2,LIFNR,KDIFF,KWERT,WAERK,KSTEU,KINAK,KOAID,ZAEKO,KFAKTOR,KDUPL,KFAKTOR1,KZBZG,KSTBS,KONMS,KONWS,KWAEH,KWERT_K,KFKIV,KMPRS,PRSQU,TXJLV,KBFLAG,KOUPD,KMXAW,KMXWR,KAWRT_K,KUNNR,KVARC,VARCOND,KTREL,MDFLG,_DATAAGING,CPF_GUID,KAQTY,VAL_ZERO
140,8,10,930,1,V,SKTO,2.01605E+13,A,"15,000.00",0,,0,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0,0,2,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,8,10,940,1,V,VPRS,2.01605E+13,C,5,"1,400.00",USD,1,1,EA,1,1,G,X,,,,A,,0,,0,,,,,,,,0,"7,000.00",2,H,,B,0,0.00E+00,,0.00E+00,,0,,,USD,"7,000.00",,,,,0,,,,0,,,,,,00/00/0000,,0,
140,9,10,11,1,V,PR00,2.01605E+13,C,2,"3,000.00",USD,1,1,EA,1,1,,,,,,A,,40,54087,1,ERL,600000,,,,,,0,"6,000.00",2,D,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,100,,,,0,,,,,,00/00/0000,,0,
140,9,10,930,1,V,SKTO,2.01605E+13,A,"6,000.00",0,,0,0,,0,0,E,X,,,,A,,0,,0,,,,,,,,0,0,2,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,9,10,940,1,V,VPRS,2.01605E+13,C,2,"1,400.00",USD,1,1,EA,1,1,G,X,,,,A,,0,,0,,,,,,,,0,"2,800.00",2,H,,B,0,0.00E+00,,0.00E+00,,0,,,USD,"2,800.00",,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000000,10,1,1,M,PBXX,2.01605E+13,C,60,25,USD,1,1,EA,1,1,H,,,,,A,,0,,0,,,,,,,,0,"1,500.00",2,C,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,X,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000000,10,21,1,M,NAVM,2.01605E+13,B,"1,500.00",0,USD,1,0,,0,0,N,X,,,,A,,0,,0,,,,,,,,0,0,2,A,,D,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000000,10,35,1,M,SKTO,2.01605E+13,A,"1,500.00",0,,0,0,,0,0,E,X,,,,A,X,0,,0,,,,,,,,0,0,2,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000000,10,60,1,M,WOTB,2.01605E+13,C,60,25,USD,1,1,EA,1,1,,X,,,,A,,0,,0,,,,,,,,0,"1,500.00",2,A,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000000,20,1,1,M,PBXX,2.01605E+13,C,150,25,USD,1,1,EA,1,1,H,,,,,A,,0,,0,,,,,,,,0,"3,750.00",2,C,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,X,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000000,20,21,1,M,NAVM,2.01605E+13,B,"3,750.00",0,USD,1,0,,0,0,N,X,,,,A,,0,,0,,,,,,,,0,0,2,A,,D,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000000,20,35,1,M,SKTO,2.01605E+13,A,"3,750.00",0,,0,0,,0,0,E,X,,,,A,X,0,,0,,,,,,,,0,0,2,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000000,20,60,1,M,WOTB,2.01605E+13,C,150,25,USD,1,1,EA,1,1,,X,,,,A,,0,,0,,,,,,,,0,"3,750.00",2,A,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000002,2,12,1,MS,PRSX,2.01605E+13,C,1,"2,000.00",EUR,0,1,EA,1,1,H,X,,,,C,,0,,0,,,,,,,,0,"2,000.00",2,A,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,X,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000002,2,13,1,MS,PRS4,2.01605E+13,C,1,0,EUR,0,1,EA,1,1,,,,,,A,,0,,0,,,,,,,,0,"2,000.00",2,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000002,2,15,1,MS,ZA00,2.01605E+13,A,"2,000.00",0,,0,0,,0,0,,,,,,A,,0,,0,,,,,,,,0,0,2,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000002,2,15,2,MS,KZ01,2.01605E+13,A,"2,000.00",0,,0,0,,0,0,,,,,,A,,0,,0,,,,,,,,0,0,2,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000002,2,15,3,MS,GPRO,2.01605E+13,A,"2,000.00",0,,0,0,,0,0,,,,,,A,,0,,0,,,,,,,,0,0,2,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000002,3,12,1,MS,PRSX,2.01605E+13,C,1,"3,000.00",EUR,0,1,EA,1,1,H,X,,,,C,,0,,0,,,,,,,,0,"3,000.00",2,A,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,X,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000002,3,13,1,MS,PRS4,2.01605E+13,C,1,0,EUR,0,1,EA,1,1,,,,,,A,,0,,0,,,,,,,,0,"3,000.00",2,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000002,3,15,1,MS,ZA00,2.01605E+13,A,"3,000.00",0,,0,0,,0,0,,,,,,A,,0,,0,,,,,,,,0,0,2,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000002,3,15,2,MS,KZ01,2.01605E+13,A,"3,000.00",0,,0,0,,0,0,,,,,,A,,0,,0,,,,,,,,0,0,2,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000002,3,15,3,MS,GPRO,2.01605E+13,A,"3,000.00",0,,0,0,,0,0,,,,,,A,,0,,0,,,,,,,,0,0,2,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000004,2,12,1,MS,PRSX,2.01605E+13,C,1,"2,000.00",EUR,0,1,LE,1,1,H,X,,,,C,,0,,0,,,,,,,,0,"2,000.00",2,A,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,X,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000004,2,13,1,MS,PRS4,2.01605E+13,C,1,0,EUR,0,1,LE,1,1,,,,,,A,,0,,0,,,,,,,,0,"2,000.00",2,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000004,2,15,1,MS,ZA00,2.01605E+13,A,"2,000.00",0,,0,0,,0,0,,,,,,A,,0,,0,,,,,,,,0,0,2,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000004,2,15,2,MS,KZ01,2.01605E+13,A,"2,000.00",0,,0,0,,0,0,,,,,,A,,0,,0,,,,,,,,0,0,2,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000004,2,15,3,MS,GPRO,2.01605E+13,A,"2,000.00",0,,0,0,,0,0,,,,,,A,,0,,0,,,,,,,,0,0,2,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000004,3,12,1,MS,PRSX,2.01605E+13,C,1,"3,000.00",EUR,0,1,LE,1,1,H,X,,,,C,,0,,0,,,,,,,,0,"3,000.00",2,A,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,X,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000004,3,13,1,MS,PRS4,2.01605E+13,C,1,0,EUR,0,1,LE,1,1,,,,,,A,,0,,0,,,,,,,,0,"3,000.00",2,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000004,3,15,1,MS,ZA00,2.01605E+13,A,"3,000.00",0,,0,0,,0,0,,,,,,A,,0,,0,,,,,,,,0,0,2,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000004,3,15,2,MS,KZ01,2.01605E+13,A,"3,000.00",0,,0,0,,0,0,,,,,,A,,0,,0,,,,,,,,0,0,2,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000004,3,15,3,MS,GPRO,2.01605E+13,A,"3,000.00",0,,0,0,,0,0,,,,,,A,,0,,0,,,,,,,,0,0,2,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000020,10,1,1,M,PBXX,2.01901E+13,C,10,25,USD,1,1,EA,1,1,H,,,,,A,,0,,0,,,,,,,,0,250,USD,C,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,X,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000020,10,21,1,M,NAVM,2.01901E+13,B,250,0,USD,1,0,,0,0,N,X,,,,A,,0,,0,,,,,,,,0,0,USD,A,,D,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000020,10,35,1,M,SKTO,2.01901E+13,A,250,0,,0,0,,0,0,E,X,,,,A,X,0,,0,,,,,,,,0,0,USD,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000020,10,60,1,M,WOTB,2.01901E+13,C,10,25,USD,1,1,EA,1,1,,X,,,,A,,0,,0,,,,,,,,0,250,USD,A,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000021,10,1,1,M,PBXX,2.01901E+13,C,10,24,USD,1,1,EA,1,1,H,,,,,A,,0,,0,,,,,,,,0,240,USD,C,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,X,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000021,10,21,1,M,NAVM,2.01901E+13,B,240,0,USD,1,0,,0,0,N,X,,,,A,,0,,0,,,,,,,,0,0,USD,A,,D,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000021,10,35,1,M,SKTO,2.01901E+13,A,240,0,,0,0,,0,0,E,X,,,,A,X,0,,0,,,,,,,,0,0,USD,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000021,10,60,1,M,WOTB,2.01901E+13,C,10,24,USD,1,1,EA,1,1,,X,,,,A,,0,,0,,,,,,,,0,240,USD,A,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000022,10,1,1,M,PBXX,2.01901E+13,C,10,24,USD,1,1,EA,1,1,H,,,,,A,,0,,0,,,,,,,,0,240,USD,C,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,X,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000022,10,21,1,M,NAVM,2.01901E+13,B,240,0,USD,1,0,,0,0,N,X,,,,A,,0,,0,,,,,,,,0,0,USD,A,,D,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000022,10,35,1,M,SKTO,2.01901E+13,A,240,0,,0,0,,0,0,E,X,,,,A,X,0,,0,,,,,,,,0,0,USD,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000022,10,60,1,M,WOTB,2.01901E+13,C,10,24,USD,1,1,EA,1,1,,X,,,,A,,0,,0,,,,,,,,0,240,USD,A,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000023,10,1,1,M,PBXX,2.01901E+13,C,10,24,USD,1,1,EA,1,1,H,,,,,A,,0,,0,,,,,,,,0,240,USD,C,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,X,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000023,10,21,1,M,NAVM,2.01901E+13,B,240,0,USD,1,0,,0,0,N,X,,,,A,,0,,0,,,,,,,,0,0,USD,A,,D,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000023,10,35,1,M,SKTO,2.01901E+13,A,240,0,,0,0,,0,0,E,X,,,,A,X,0,,0,,,,,,,,0,0,USD,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000023,10,60,1,M,WOTB,2.01901E+13,C,10,24,USD,1,1,EA,1,1,,X,,,,A,,0,,0,,,,,,,,0,240,USD,A,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000024,10,1,1,M,PBXX,2.01901E+13,C,10,24,USD,1,1,EA,1,1,H,,,,,A,,0,,0,,,,,,,,0,240,USD,C,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,X,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000024,10,21,1,M,NAVM,2.01901E+13,B,240,0,USD,1,0,,0,0,N,X,,,,A,,0,,0,,,,,,,,0,0,USD,A,,D,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000024,10,35,1,M,SKTO,2.01901E+13,A,240,0,,0,0,,0,0,E,X,,,,A,X,0,,0,,,,,,,,0,0,USD,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000024,10,60,1,M,WOTB,2.01901E+13,C,10,24,USD,1,1,EA,1,1,,X,,,,A,,0,,0,,,,,,,,0,240,USD,A,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000025,10,1,1,M,PBXX,2.01901E+13,C,10,24,USD,1,1,EA,1,1,H,,,,,A,,0,,0,,,,,,,,0,240,USD,C,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,X,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000025,10,21,1,M,NAVM,2.01901E+13,B,240,0,USD,1,0,,0,0,N,X,,,,A,,0,,0,,,,,,,,0,0,USD,A,,D,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000025,10,35,1,M,SKTO,2.01901E+13,A,240,0,,0,0,,0,0,E,X,,,,A,X,0,,0,,,,,,,,0,0,USD,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000025,10,60,1,M,WOTB,2.01901E+13,C,10,24,USD,1,1,EA,1,1,,X,,,,A,,0,,0,,,,,,,,0,240,USD,A,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000026,10,1,1,M,PBXX,2.01901E+13,C,10,24,USD,1,1,EA,1,1,H,,,,,A,,0,,0,,,,,,,,0,240,USD,C,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,X,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000026,10,21,1,M,NAVM,2.01901E+13,B,240,0,USD,1,0,,0,0,N,X,,,,A,,0,,0,,,,,,,,0,0,USD,A,,D,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000026,10,35,1,M,SKTO,2.01901E+13,A,240,0,,0,0,,0,0,E,X,,,,A,X,0,,0,,,,,,,,0,0,USD,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000026,10,60,1,M,WOTB,2.01901E+13,C,10,24,USD,1,1,EA,1,1,,X,,,,A,,0,,0,,,,,,,,0,240,USD,A,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000027,10,1,1,M,PBXX,2.01901E+13,C,10,24,USD,1,1,EA,1,1,H,,,,,A,,0,,0,,,,,,,,0,240,USD,C,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,X,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000027,10,21,1,M,NAVM,2.01901E+13,B,240,0,USD,1,0,,0,0,N,X,,,,A,,0,,0,,,,,,,,0,0,USD,A,,D,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000027,10,35,1,M,SKTO,2.01901E+13,A,240,0,,0,0,,0,0,E,X,,,,A,X,0,,0,,,,,,,,0,0,USD,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000027,10,60,1,M,WOTB,2.01901E+13,C,10,24,USD,1,1,EA,1,1,,X,,,,A,,0,,0,,,,,,,,0,240,USD,A,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000028,10,1,1,M,PBXX,2.01901E+13,C,10,24,USD,1,1,EA,1,1,H,,,,,A,,0,,0,,,,,,,,0,240,USD,C,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,X,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000028,10,21,1,M,NAVM,2.01901E+13,B,240,0,USD,1,0,,0,0,N,X,,,,A,,0,,0,,,,,,,,0,0,USD,A,,D,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000028,10,35,1,M,SKTO,2.01901E+13,A,240,0,,0,0,,0,0,E,X,,,,A,X,0,,0,,,,,,,,0,0,USD,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000028,10,60,1,M,WOTB,2.01901E+13,C,10,24,USD,1,1,EA,1,1,,X,,,,A,,0,,0,,,,,,,,0,240,USD,A,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000029,10,1,1,M,PBXX,2.01901E+13,C,10,24,USD,1,1,EA,1,1,H,,,,,A,,0,,0,,,,,,,,0,240,USD,C,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,X,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000029,10,21,1,M,NAVM,2.01901E+13,B,240,0,USD,1,0,,0,0,N,X,,,,A,,0,,0,,,,,,,,0,0,USD,A,,D,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000029,10,35,1,M,SKTO,2.01901E+13,A,240,0,,0,0,,0,0,E,X,,,,A,X,0,,0,,,,,,,,0,0,USD,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000029,10,60,1,M,WOTB,2.01901E+13,C,10,24,USD,1,1,EA,1,1,,X,,,,A,,0,,0,,,,,,,,0,240,USD,A,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000030,10,1,1,M,PBXX,2.01901E+13,C,10,24,USD,1,1,EA,1,1,H,,,,,A,,0,,0,,,,,,,,0,240,USD,C,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,X,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000030,10,21,1,M,NAVM,2.01901E+13,B,240,0,USD,1,0,,0,0,N,X,,,,A,,0,,0,,,,,,,,0,0,USD,A,,D,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000030,10,35,1,M,SKTO,2.01901E+13,A,240,0,,0,0,,0,0,E,X,,,,A,X,0,,0,,,,,,,,0,0,USD,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000030,10,60,1,M,WOTB,2.01901E+13,C,10,24,USD,1,1,EA,1,1,,X,,,,A,,0,,0,,,,,,,,0,240,USD,A,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000031,10,1,1,M,PBXX,2.01901E+13,C,10,24,USD,1,1,EA,1,1,H,,,,,A,,0,,0,,,,,,,,0,240,USD,C,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,X,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000031,10,21,1,M,NAVM,2.01901E+13,B,240,0,USD,1,0,,0,0,N,X,,,,A,,0,,0,,,,,,,,0,0,USD,A,,D,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000031,10,35,1,M,SKTO,2.01901E+13,A,240,0,,0,0,,0,0,E,X,,,,A,X,0,,0,,,,,,,,0,0,USD,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000031,10,60,1,M,WOTB,2.01901E+13,C,10,24,USD,1,1,EA,1,1,,X,,,,A,,0,,0,,,,,,,,0,240,USD,A,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000032,10,1,1,M,PBXX,2.01901E+13,C,10,24,USD,1,1,EA,1,1,H,,,,,A,,0,,0,,,,,,,,0,240,USD,C,,B,0,0.00E+00,,0.00E+00,,0,,,,0,,X,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000032,10,21,1,M,NAVM,2.01901E+13,B,240,0,USD,1,0,,0,0,N,X,,,,A,,0,,0,,,,,,,,0,0,USD,A,,D,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
140,1000000032,10,35,1,M,SKTO,2.01901E+13,A,240,0,,0,0,,0,0,E,X,,,,A,X,0,,0,,,,,,,,0,0,USD,A,,A,0,0.00E+00,,0.00E+00,,0,,,,0,,,,,0,,,,0,,,,,,00/00/0000,,0,
