adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks,fs_year,fs_quarter
0001032975-17-000037,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,C/O LOGITECH INC,5107958500,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,,,,0.0,,,1-LAF,0,331.0,10-Q,20170630,2017.0,Q1,20170727,2017-07-27 16:39:00.0,0,1,logi-20170630.xml,1,,2017,3
0001032975-17-000053,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,C/O LOGITECH INC,5107958500,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,,,,0.0,,,1-LAF,0,331.0,10-Q,20170930,2017.0,Q2,20171101,2017-11-01 16:25:00.0,0,1,logi-20170930.xml,1,,2017,4
0001104659-13-061077,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,FREMONT,94555,6505 KAISER DR,C/O LOGITECH INC,5107958500,US,CA,FREMONT,94555,6505 KAISER DR,,,,0.0,,,1-LAF,1,331.0,10-K/A,20130331,2012.0,FY,20130807,2013-08-07 16:41:00.0,0,1,logi-20130331.xml,1,,2013,3
0001104659-13-061086,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,FREMONT,94555,6505 KAISER DR,C/O LOGITECH INC,5107958500,US,CA,FREMONT,94555,6505 KAISER DR,,,,0.0,,,1-LAF,0,331.0,10-Q,20130630,2013.0,Q1,20130807,2013-08-07 16:53:00.0,0,1,logi-20130630.xml,1,,2013,3
0001104659-13-081156,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,FREMONT,94555,6505 KAISER DR,C/O LOGITECH INC,5107958500,US,CA,FREMONT,94555,6505 KAISER DR,,,,0.0,,,1-LAF,0,331.0,10-Q,20130930,2013.0,Q2,20131105,2013-11-05 16:08:00.0,0,1,logi-20130930.xml,1,,2013,4
0001628280-15-000267,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,FREMONT,94555,6505 KAISER DR,C/O LOGITECH INC,5107958500,US,CA,FREMONT,94555,6505 KAISER DR,,,,0.0,,,1-LAF,0,331.0,10-Q,20141231,2014.0,Q3,20150127,2015-01-27 17:13:00.0,0,1,logi-20141231.xml,1,,2015,1
0001032975-17-000016,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,C/O LOGITECH INC,5107958500,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,,,,0.0,,,1-LAF,0,331.0,10-K,20170331,2016.0,FY,20170526,2017-05-26 16:07:00.0,0,1,logi-20170331.xml,1,,2017,2
0001032975-18-000016,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,C/O LOGITECH INC,5107958500,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,,,,0.0,,,1-LAF,0,331.0,10-K,20180331,2017.0,FY,20180521,2018-05-21 17:27:00.0,0,1,logi-20180331.xml,1,,2018,2
0001047469-12-006385,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,FREMONT,94555,6505 KAISER DR,C/O LOGITECH INC,5107958500,US,CA,FREMONT,94555,6505 KAISER DR,,,,0.0,,,1-LAF,1,331.0,10-K,20120331,2011.0,FY,20120530,2012-05-30 17:08:00.0,0,1,logi-20120331.xml,1,,2012,2
0001032975-16-000106,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,C/O LOGITECH INC,5107958500,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,,,,0.0,,,1-LAF,0,331.0,10-Q,20160930,2016.0,Q2,20161027,2016-10-27 16:45:00.0,0,1,logi-20160930.xml,1,,2016,4
0001032975-16-000097,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,C/O LOGITECH INC,5107958500,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,,,,0.0,,,1-LAF,0,331.0,10-Q,20160630,2016.0,Q1,20160729,2016-07-29 16:15:00.0,0,1,logi-20160630.xml,1,,2016,3
0001104659-12-074325,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,FREMONT,94555,6505 KAISER DR,C/O LOGITECH INC,5107958500,US,CA,FREMONT,94555,6505 KAISER DR,,,,0.0,,,1-LAF,0,331.0,10-Q,20120930,2012.0,Q2,20121106,2012-11-05 19:04:00.0,0,1,logi-20120930.xml,1,,2012,4
0001104659-12-054707,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,FREMONT,94555,6505 KAISER DR,C/O LOGITECH INC,5107958500,US,CA,FREMONT,94555,6505 KAISER DR,,,,0.0,,,1-LAF,0,331.0,10-Q,20120630,2012.0,Q1,20120806,2012-08-06 17:20:00.0,0,1,logi-20120630.xml,1,,2012,3
0001032975-18-000037,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,C/O LOGITECH INC,5107958500,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,,,,0.0,,,1-LAF,0,331.0,10-Q,20180630,2018.0,Q1,20180802,2018-08-02 16:54:00.0,0,1,logi-20180629.xml,1,,2018,3
0001032975-16-000083,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,C/O LOGITECH INC,5107958500,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,,,,0.0,,,1-LAF,1,331.0,10-K,20160331,2015.0,FY,20160523,2016-05-23 16:29:00.0,0,1,logi-20160331.xml,1,,2016,2
0001104659-14-005272,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,FREMONT,94555,6505 KAISER DR,C/O LOGITECH INC,5107958500,US,CA,FREMONT,94555,6505 KAISER DR,,,,,,,1-LAF,0,331.0,10-Q,20131231,2013.0,Q3,20140130,2014-01-30 16:16:00.0,0,1,logi-20131231.xml,1,,2014,1
0001032975-15-000052,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,C/O LOGITECH INC,5107958500,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,,,,0.0,,,1-LAF,0,331.0,10-Q,20150930,2015.0,Q2,20151023,2015-10-23 16:12:00.0,0,1,logi-20150930.xml,1,,2015,4
0001032975-15-000032,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,C/O LOGITECH INC,5107958500,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,,,,0.0,,,1-LAF,0,331.0,10-Q,20150630,2015.0,Q1,20150724,2015-07-24 16:22:00.0,0,1,logi-20150630.xml,1,,2015,3
0001104659-13-007557,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,FREMONT,94555,6505 KAISER DR,C/O LOGITECH INC,5107958500,US,CA,FREMONT,94555,6505 KAISER DR,,,,0.0,,,1-LAF,0,331.0,10-Q,20121231,2012.0,Q3,20130205,2013-02-05 16:10:00.0,0,1,logi-20121231.xml,1,,2013,1
0001193125-11-153485,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,FREMONT,94555,6505 KAISER DR,C/O LOGITECH INC,5107958500,US,CA,FREMONT,94555,6505 KAISER DR,,,,0.0,,,1-LAF,1,331.0,10-K,20110331,2010.0,FY,20110527,2011-05-27 17:07:00.0,0,0,logi-20110331.xml,1,,2011,2
0001032975-15-000023,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,C/O LOGITECH INC,5107958500,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,,,,0.0,,,1-LAF,0,331.0,10-K,20150331,2014.0,FY,20150605,2015-06-05 17:02:00.0,0,1,logi-20150331.xml,1,,2015,2
0001032975-17-000005,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,C/O LOGITECH INC,5107958500,US,CA,NEWARK,94560,7700 GATEWAY BOULEVARD,,,,0.0,,,1-LAF,0,331.0,10-Q,20161231,2016.0,Q3,20170206,2017-02-06 16:08:00.0,0,1,logi-20161231.xml,1,,2017,1
0001104659-11-061563,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,FREMONT,94555,6505 KAISER DR,C/O LOGITECH INC,5107958500,US,CA,FREMONT,94555,6505 KAISER DR,,,,0.0,,,1-LAF,0,331.0,10-Q,20110930,2011.0,Q2,20111107,2011-11-07 14:52:00.0,0,1,logi-20110930.xml,1,,2011,4
0001193125-11-241116,1032975,LOGITECH INTERNATIONAL SA,3577.0,US,CA,FREMONT,94555,6505 KAISER DR,C/O LOGITECH INC,5107958500,US,CA,FREMONT,94555,6505 KAISER DR,,,,0.0,,,1-LAF,1,331.0,10-Q/A,20110630,2011.0,Q1,20110906,2011-09-06 15:58:00.0,0,1,logi-20110630.xml,1,,2011,3
